invoiceId,issuerId,receiverId,amount,issueDate,paymentDate
334,17,142,132390,2022-01-03,2022-02-11
335,14,2,9184,2022-01-03,2022-02-21
336,78,17,286352,2022-01-03,2022-03-29
337,49,17,10650,2022-01-03,2022-01-03
338,17,142,307355,2022-01-03,2022-02-14
339,2,91,58128,2022-01-03,2022-01-03
340,91,32,3588,2022-01-03,2022-01-03
341,8,142,12956,2022-01-03,2022-02-18
342,17,91,57888,2022-01-03,2022-02-17
343,78,2,176109,2022-01-03,2022-02-08
344,78,32,10084,2022-01-03,2022-03-20
345,32,142,5180,2022-01-03,2022-02-15
346,2,142,67251,2022-01-03,2022-02-09
347,17,142,163188,2022-01-03,2022-03-22
348,2,70,2943,2022-01-03,2022-01-03
349,142,17,270550,2022-01-03,2022-03-11
350,78,2,55061,2022-01-03,2022-02-23
351,1,29,1254,2022-01-03,2022-01-03
352,2,36,1339,2022-01-03,2022-02-04
353,78,17,283448,2022-01-03,2022-01-03
354,17,14,20446,2022-01-03,2022-03-06
355,17,93,6395,2022-01-03,2022-02-27
356,14,17,18105,2022-01-03,2022-03-09
357,142,2,41033,2022-01-03,2022-03-19
358,2,142,65851,2022-01-03,2022-01-03
359,17,142,211227,2022-01-03,2022-03-31
360,78,2,60419,2022-01-03,2022-01-03
361,17,91,54423,2022-01-03,2022-01-03
362,17,142,141913,2022-01-03,2022-03-10
363,78,17,245149,2022-01-03,2022-03-20
364,17,14,15121,2022-01-03,2022-02-13
365,78,17,99417,2022-01-03,2022-01-03
366,91,2,134439,2022-01-03,2022-03-05
367,14,17,35437,2022-01-03,2022-02-14
368,142,17,112875,2022-01-03,2022-03-07
369,78,17,181194,2022-01-03,2022-03-23
370,78,2,81451,2022-01-03,2022-01-03
371,91,0,46506,2022-01-03,2022-01-03
372,7,142,12144,2022-01-03,2022-01-03
373,17,127,9047,2022-01-03,2022-02-06
374,17,91,64747,2022-01-03,2022-02-04
375,17,142,282654,2022-01-03,2022-03-09
376,8,142,11684,2022-01-03,2022-02-18
377,7,142,15052,2022-01-03,2022-01-03
378,17,14,185005,2022-01-03,2022-03-10
379,25,17,2172,2022-01-03,2022-01-03
380,78,17,108795,2022-01-03,2022-03-02
381,91,17,118956,2022-01-03,2022-01-03
382,17,142,84318,2022-01-03,2022-01-03
383,2,29,1082,2022-01-03,2022-03-15
384,2,91,30970,2022-01-03,2022-02-27
385,142,8,15598,2022-01-03,2022-03-31
386,17,142,95811,2022-01-03,2022-03-30
387,17,142,82176,2022-01-03,2022-03-17
388,17,14,18880,2022-01-03,2022-03-31
389,78,17,109879,2022-01-03,2022-02-09
390,78,1,7291,2022-01-03,2022-03-17
391,17,142,88727,2022-01-03,2022-01-03
392,14,2,9916,2022-01-03,2022-02-25
393,2,91,24557,2022-01-03,2022-01-03
394,2,142,47953,2022-01-03,2022-02-26
395,17,142,93032,2022-01-03,2022-01-03
396,17,142,90950,2022-01-03,2022-03-11
397,2,29,1281,2022-01-03,2022-03-22
398,17,142,702055,2022-01-03,2022-03-28
399,91,2,53445,2022-01-03,2022-01-03
400,78,0,6641,2022-01-03,2022-02-05
401,2,142,37496,2022-01-03,2022-03-25
402,2,14,11989,2022-01-03,2022-03-09
403,142,17,110500,2022-01-03,2022-01-03
404,17,78,98764,2022-01-03,2022-01-03
405,65,17,8471,2022-01-03,2022-04-03
406,17,14,19904,2022-01-03,2022-03-20
407,2,10,1268,2022-01-03,2022-01-03
408,93,17,5165,2022-01-03,2022-03-18
409,17,142,440369,2022-01-03,2022-01-03
410,1,142,8452,2022-01-03,2022-03-11
411,17,25,3177,2022-01-03,2022-03-01
412,2,14,11347,2022-01-03,2022-03-01
413,127,2,6152,2022-01-03,2022-02-02
414,2,25,1629,2022-01-03,2022-01-03
415,2,91,31128,2022-01-03,2022-03-07
416,17,50,1257,2022-01-03,2022-03-15
417,17,78,259134,2022-01-03,2022-02-04
418,2,78,69791,2022-01-03,2022-03-28
419,2,91,24369,2022-01-03,2022-03-13
420,8,142,16546,2022-01-03,2022-04-02
421,17,14,19807,2022-01-03,2022-02-23
422,49,2,2232,2022-01-03,2022-03-08
423,142,2,40897,2022-01-03,2022-03-27
424,32,142,5338,2022-01-03,2022-04-03
425,17,25,1752,2022-01-03,2022-04-01
426,17,86,1072,2022-01-03,2022-01-03
427,93,17,4542,2022-01-03,2022-03-12
428,91,17,56468,2022-01-03,2022-01-03
429,142,8,58067,2022-01-03,2022-03-19
430,142,4,1109,2022-01-03,2022-01-03
431,91,17,81675,2022-01-03,2022-03-16
432,2,120,1781,2022-01-03,2022-01-03
433,32,91,3194,2022-01-03,2022-03-27
434,78,8,33702,2022-01-03,2022-01-03
435,142,4,1591,2022-01-03,2022-03-04
436,78,2,72542,2022-01-03,2022-03-19
437,17,142,74259,2022-01-03,2022-03-01
438,142,2,41555,2022-01-03,2022-02-11
439,78,17,167602,2022-01-03,2022-01-03
440,17,78,94890,2022-01-03,2022-03-15
441,78,2,104395,2022-01-03,2022-01-03
442,2,142,181662,2022-01-03,2022-03-07
443,17,142,111667,2022-01-03,2022-02-28
444,78,17,131519,2022-01-03,2022-03-21
445,142,17,64148,2022-01-03,2022-02-08
446,17,142,142430,2022-01-03,2022-03-31
447,78,17,138663,2022-01-03,2022-01-03
448,110,2,1114,2022-01-03,2022-01-03
449,78,8,189622,2022-01-03,2022-01-03
450,2,49,5175,2022-01-03,2022-02-28
451,2,142,137365,2022-01-03,2022-03-04
452,78,17,197165,2022-01-03,2022-01-03
453,32,14,1238,2022-01-03,2022-02-11
454,1,91,5611,2022-01-03,2022-02-08
455,78,7,18948,2022-01-03,2022-03-26
456,142,17,171337,2022-01-03,2022-03-07
457,17,142,86011,2022-01-03,2022-01-03
458,12,142,8625,2022-01-03,2022-03-19
459,17,93,5088,2022-01-03,2022-01-03
460,91,17,78315,2022-01-03,2022-03-22
461,78,24,3868,2022-01-03,2022-02-06
462,17,142,205053,2022-01-03,2022-04-03
463,2,14,11826,2022-01-03,2022-01-03
464,17,142,112987,2022-01-03,2022-02-24
465,91,2,63157,2022-01-03,2022-04-01
466,2,93,22326,2022-01-03,2022-02-26
467,2,142,46122,2022-01-03,2022-02-17
468,2,142,50994,2022-01-03,2022-03-13
469,0,142,5090,2022-01-03,2022-01-03
470,7,142,16828,2022-01-03,2022-02-07
471,17,49,4026,2022-01-03,2022-02-18
472,2,25,1473,2022-01-03,2022-02-22
473,70,17,4031,2022-01-03,2022-03-30
474,2,25,999,2022-01-03,2022-02-05
475,17,127,6179,2022-01-03,2022-01-03
476,78,7,17084,2022-01-03,2022-02-08
477,2,142,72489,2022-01-03,2022-01-03
478,2,142,51830,2022-01-03,2022-03-18
479,17,78,291337,2022-01-03,2022-02-15
480,17,25,4334,2022-01-03,2022-03-16
481,17,91,67550,2022-01-03,2022-03-06
482,78,17,283957,2022-01-03,2022-01-03
483,2,142,45369,2022-01-03,2022-03-15
484,17,142,100087,2022-01-03,2022-01-03
485,142,7,14314,2022-01-03,2022-01-03
486,78,17,130663,2022-01-03,2022-03-21
487,17,142,120150,2022-01-03,2022-03-05
488,65,2,2905,2022-01-03,2022-02-09
489,0,127,2712,2022-01-03,2022-01-03
490,17,91,76124,2022-01-03,2022-01-03
491,17,142,79320,2022-01-03,2022-02-15
492,142,17,131535,2022-01-03,2022-03-05
493,17,50,2120,2022-01-03,2022-02-18
494,2,142,42782,2022-01-03,2022-01-03
495,10,17,5509,2022-01-03,2022-03-07
496,24,142,3141,2022-01-03,2022-01-03
497,78,8,17755,2022-01-03,2022-02-03
498,78,0,6997,2022-01-03,2022-03-21
499,17,127,7818,2022-01-03,2022-04-03
500,2,127,3615,2022-01-03,2022-01-03
501,17,14,19376,2022-01-03,2022-03-24
502,142,17,98748,2022-01-03,2022-02-17
503,78,2,64460,2022-01-03,2022-04-01
504,17,78,218371,2022-01-03,2022-03-12
505,2,142,50821,2022-01-03,2022-03-10
506,113,17,3590,2022-01-03,2022-02-22
507,142,2,53698,2022-01-03,2022-03-27
508,2,125,1203,2022-01-03,2022-03-30
509,78,8,18003,2022-01-03,2022-02-06
510,17,142,161782,2022-01-03,2022-03-31
511,17,10,1908,2022-01-03,2022-01-03
512,7,78,23661,2022-01-03,2022-01-03
513,8,142,21437,2022-01-03,2022-03-16
514,78,17,133882,2022-01-03,2022-02-04
515,17,142,76974,2022-01-03,2022-02-07
516,17,78,95596,2022-01-03,2022-02-13
517,29,17,2493,2022-01-03,2022-02-22
518,2,142,64296,2022-01-03,2022-03-25
519,17,89,1024,2022-01-03,2022-01-03
520,2,142,42193,2022-01-03,2022-04-01
521,2,142,44269,2022-01-03,2022-01-03
522,78,2,77416,2022-01-03,2022-03-08
523,12,14,1136,2022-01-03,2022-01-03
524,8,142,22709,2022-01-03,2022-01-03
525,17,14,23868,2022-01-03,2022-02-20
526,7,93,2049,2022-01-03,2022-03-29
527,17,14,30637,2022-01-03,2022-02-26
528,91,17,98494,2022-01-03,2022-02-24
529,91,2,35168,2022-01-03,2022-02-25
530,78,2,49112,2022-01-04,2022-01-04
531,91,2,19523,2022-01-04,2022-01-04
532,99,2,1879,2022-01-04,2022-01-04
533,17,110,2340,2022-01-04,2022-02-08
534,142,7,23019,2022-01-04,2022-02-13
535,142,7,13426,2022-01-04,2022-04-03
536,12,142,4265,2022-01-04,2022-02-20
537,40,142,2174,2022-01-04,2022-01-04
538,17,142,181533,2022-01-04,2022-02-23
539,17,142,67254,2022-01-04,2022-04-03
540,17,78,123158,2022-01-04,2022-03-26
541,7,142,11479,2022-01-04,2022-01-04
542,17,91,112869,2022-01-04,2022-01-04
543,7,127,2539,2022-01-04,2022-01-04
544,2,142,53349,2022-01-04,2022-02-20
545,2,142,65118,2022-01-04,2022-04-03
546,17,142,122760,2022-01-04,2022-02-14
547,1,78,9764,2022-01-04,2022-01-04
548,91,17,100546,2022-01-04,2022-03-17
549,17,127,6873,2022-01-04,2022-03-18
550,78,2,99898,2022-01-04,2022-03-09
551,142,32,49465,2022-01-04,2022-01-04
552,2,78,57253,2022-01-04,2022-03-22
553,32,142,5423,2022-01-04,2022-03-07
554,142,2,47458,2022-01-04,2022-03-25
555,2,142,40304,2022-01-04,2022-02-21
556,17,78,102512,2022-01-04,2022-01-04
557,78,17,87143,2022-01-04,2022-02-03
558,0,91,1905,2022-01-04,2022-03-13
559,17,145,1934,2022-01-04,2022-02-06
560,14,17,27038,2022-01-04,2022-01-04
561,78,2,76646,2022-01-04,2022-02-16
562,17,127,7591,2022-01-04,2022-03-10
563,32,142,5251,2022-01-04,2022-02-21
564,12,78,9679,2022-01-04,2022-04-03
565,32,142,9662,2022-01-04,2022-01-04
566,17,142,106638,2022-01-04,2022-02-12
567,17,91,101443,2022-01-04,2022-01-04
568,8,19,1694,2022-01-04,2022-02-14
569,29,17,13080,2022-01-04,2022-03-17
570,2,91,47887,2022-01-04,2022-03-07
571,14,17,23942,2022-01-04,2022-02-11
572,17,36,1978,2022-01-04,2022-02-15
573,17,142,71693,2022-01-04,2022-02-10
574,142,17,112830,2022-01-04,2022-03-30
575,32,91,2884,2022-01-04,2022-02-06
576,2,78,310884,2022-01-04,2022-02-15
577,78,17,208851,2022-01-04,2022-01-04
578,17,78,133159,2022-01-04,2022-01-04
579,91,17,40813,2022-01-04,2022-04-04
580,7,142,212442,2022-01-04,2022-02-19
581,91,32,9529,2022-01-04,2022-03-09
582,2,142,64270,2022-01-04,2022-02-23
583,7,78,64341,2022-01-04,2022-03-01
584,17,111,1372,2022-01-04,2022-03-14
585,14,2,16949,2022-01-04,2022-01-04
586,2,142,48641,2022-01-04,2022-03-08
587,17,127,8348,2022-01-04,2022-03-22
588,8,142,14435,2022-01-04,2022-01-04
589,17,127,8363,2022-01-04,2022-02-19
590,65,17,5287,2022-01-04,2022-02-15
591,91,17,48340,2022-01-04,2022-02-05
592,65,17,7816,2022-01-04,2022-01-04
593,78,32,10590,2022-01-04,2022-03-02
594,7,127,1924,2022-01-04,2022-02-28
595,142,17,86306,2022-01-04,2022-01-04
596,29,17,2789,2022-01-04,2022-03-03
597,78,2,264582,2022-01-04,2022-03-29
598,78,17,505555,2022-01-04,2022-02-23
599,78,5,1498,2022-01-04,2022-01-04
600,2,142,41510,2022-01-04,2022-01-04
601,91,17,55621,2022-01-04,2022-02-17
602,78,32,8200,2022-01-04,2022-02-19
603,142,17,69449,2022-01-04,2022-01-04
604,78,2,78438,2022-01-04,2022-01-04
605,2,49,5225,2022-01-04,2022-01-04
